Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,price_category
0,Aspire A517-51G,3,1.6011210104026858,IPS Panel Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,98,5,1.4450369525472322,1
7,ProBook 430,3,-1.2044068787278503,IPS Panel Full HD 1920x1080,83,-0.8621763211399812,500GB HDD,61,5,-0.8248915563469708,1
8,MateBook X,4,-1.414821470412641,IPS Panel Full HD 2160x1440,74,-0.07519506268436271,256GB SSD,53,5,-1.486327678143957,2
7,17-bs001nv (i5-7200U/6GB/2TB/Radeon,3,1.6011210104026858,IPS Panel Full HD 1920x1080,74,-0.46868569191217196,2TB HDD,6,5,1.0090904177264912,1
10,IdeaPad 320-15AST,3,0.4087716575222072,1366x768,9,-0.8621763211399812,500GB HDD,16,4,0.24242582200725737,0
16,Satellite Pro,3,0.4087716575222072,1366x768,59,-0.8621763211399812,500GB HDD,53,5,-0.058226960627736635,0
7,ProBook 470,3,1.6011210104026858,Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,69,5,0.6934049959597477,1
4,Inspiron 3567,3,0.4087716575222072,1366x768,59,-0.07519506268436271,1TB HDD,53,5,0.39275221332475374,0
0,Aspire A315-51,3,0.4087716575222072,1366x768,56,-0.8621763211399812,128GB SSD,47,5,0.09209943068976037,0
11,GT80S 6QF-074US,1,2.3726411799135816,Full HD 1920x1080,95,4.646692488049348,512GB SSD +  1TB HDD,62,5,3.549606430992189,2
10,V310-15IKB (i5-7200U/8GB/1TB,3,0.4087716575222072,Full HD 1920x1080,74,-0.07519506268436271,128GB SSD +  1TB HDD,4,5,-0.20855335194523364,1
7,Spectre x360,0,-1.2044068787278503,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,83,-0.07519506268436271,256GB SSD,61,5,-1.1255443389819644,2
4,Inspiron 5570,3,0.4087716575222072,Full HD 1920x1080,106,1.4987674542268743,256GB SSD +  2TB HDD,7,2,-0.02816168236423723,1
4,XPS 13,4,-1.2044068787278503,Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,61,5,-1.2157401737724627,2
10,Yoga 920-13IKB,0,-0.7835776953582702,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,106,1.4987674542268743,512GB SSD,61,5,-0.960185308532718,2
16,Satellite Pro,3,0.4087716575222072,1366x768,74,-0.07519506268436271,128GB SSD,53,5,-0.058226960627736635,1
18,Mi Notebook,3,0.4087716575222072,IPS Panel Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,98,4,-0.13339015628648515,1
4,Inspiron 7773,3,1.6011210104026858,Full HD / Touchscreen 1920x1080,106,1.4987674542268743,512GB SSD,63,5,1.0992862525169893,2
